GeneID,Hwang_D01,Hwang_D02,Hwang_D03,Hwang_D04,Hwang_D05,Hwang_D06,Hwang_D07,Hwang_D08,Hwang_D09,Hwang_N01,Hwang_N02,Hwang_N03,Hwang_N04,Hwang_N05,Hwang_N06,Hwang_N07,Hwang_N08,Hwang_N09,Hwang_N10,Hwang_N11,Hwang_N12,Hye_01,Hye_02,Hye_03,Hye_04,Hye_05,Hye_06,Hye_07,Hye_08,Hye_09,Hye_10,Hye_11,Hye_12,Hye_15,Hye_16,Hye_17,Hye_18,Prat_A7,Prat_A8,Prat_A10,Prat_A12,Prat_A14,Prat_A16,Prat_A18,Prat_A19,Prat_A20,Prat_A21,Prat_A22,Prat_A23,Prat_A24,Prat_A25,Prat_A27,Prat_A28,Prat_A29,Prat_A30,Prat_A31,Prat_A32,Prat_A33,Prat_A35,Prat_A37,Prat_A38,Prat_A39
1088,309,0,0,95,0,0,0,0,0,3,0,33,0,0,0,19,0,0,0,0,0,9,6,33,12,43,5,22,8,18,1257,12,6,2,13,14,3,18,12,8,7,13,248,18,26,30,95,31,26,53,7,11,21,9,15,18,18,15,20,13,24,22
10995,55,14,7,18,1,48,24,161,0,16,17,10,14,3,29,3,7,0,0,0,1,5,28,8,40,39,27,17,7,31,25,2,12,70,12,93,20,132,33,124,75,46,110,30,91,94,41,60,129,136,51,63,55,46,119,88,30,28,172,17,38,43
11126,50,31,161,309,11,196,0,345,0,44,99,48,0,0,0,272,0,0,9,1,16,71,15,29,18,59,37,13,42,80,5,34,25,71,12,35,58,26,9,9,94,13,21,15,18,23,8,19,12,18,12,3,16,17,16,27,17,9,33,7,17,16
112744,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,14,0,0,0,7,1,0,4,0,0,1,0,2,1,19,19,9,8,8,22,17,16,17,8,45,24,21,14,5,25,60,20,16,36,25,20,17,18,61
117157,140,104,44,1549,56,127,22,336,253,384,60,385,0,99,452,692,22,18,32,19,61,10,4,25,5,5,3,4,11,25,105,8,1,2,4,3,7,12,22,26,23,19,31,34,36,28,17,44,22,17,31,8,21,23,28,30,15,31,70,14,29,25
1230,1352,1490,723,2829,1071,3291,368,1698,541,1852,3962,1527,501,2563,3877,2193,112,27,294,329,239,22,203,21,1357,122,151,439,37,104,303,88,104,425,37,140,110,130,140,258,83,152,204,185,71,94,128,346,175,177,172,186,99,114,93,161,97,114,138,39,63,249
1231,2746,686,380,1572,147,3141,523,3051,421,697,400,638,165,2187,1408,1371,154,38,89,68,100,31,302,20,213,161,151,286,3,308,103,75,34,207,15,445,59,102,38,108,56,53,148,53,56,91,130,122,124,43,74,95,68,52,52,183,33,31,247,17,52,57
1233,2008,337,13,21,74,164,441,498,678,80,238,214,117,640,272,364,83,40,4,15,65,15,56,10,40,50,40,82,3,109,137,1,24,77,13,351,97,60,23,49,16,27,46,34,74,28,20,45,82,60,45,7,38,29,59,34,29,36,105,16,26,55
1234,3134,1721,315,350,638,3362,757,4395,1444,650,816,2321,118,4113,1972,1005,331,115,192,51,374,9,122,13,513,146,87,69,14,78,67,33,62,306,16,280,50,185,28,121,102,75,80,28,44,80,59,121,111,61,69,97,53,35,184,85,33,43,161,17,28,103
1235,1488,293,0,58,155,112,503,2950,1182,77,88,854,71,1085,371,192,80,6,60,4,77,2,39,8,53,94,25,21,3,95,26,5,9,24,34,124,50,71,28,28,18,47,134,25,78,91,38,79,49,81,57,16,44,13,47,57,34,30,291,20,39,36
